iter	Passed	Remaining
405	5340	7812
406	5350	7796
407	5361	7780
408	5373	7764
409	5383	7747
410	5394	7731
411	5406	7716
412	5417	7700
413	5428	7683
414	5439	7667
415	5450	7651
416	5462	7636
417	5473	7620
418	5483	7604
419	5494	7587
420	5505	7571
421	5516	7555
422	5527	7539
423	5539	7524
424	5551	7510
425	5561	7494
426	5572	7478
427	5582	7461
428	5593	7445
429	5604	7429
430	5615	7414
431	5627	7398
432	5638	7384
433	5649	7368
434	5659	7351
435	5670	7335
436	5680	7318
437	5691	7303
438	5702	7287
439	5713	7271
440	5723	7255
441	5734	7239
442	5745	7223
443	5756	7207
444	5766	7191
445	5776	7175
446	5786	7159
447	5797	7143
448	5808	7127
449	5819	7113
450	5830	7097
451	5843	7084
452	5854	7069
453	5865	7053
454	5876	7038
455	5886	7022
456	5897	7007
457	5907	6991
458	5918	6976
459	5929	6961
460	5941	6947
461	5952	6931
462	5962	6915
463	5972	6899
464	5982	6883
465	5993	6868
466	6003	6852
467	6013	6836
468	6024	6820
469	6035	6805
470	6046	6791
471	6057	6776
472	6067	6760
473	6079	6746
474	6090	6731
475	6101	6716
476	6111	6701
477	6122	6685
478	6133	6670
479	6145	6657
480	6157	6643
481	6167	6628
482	6178	6613
483	6189	6599
484	6200	6584
485	6211	6569
486	6222	6554
487	6233	6539
488	6244	6525
489	6255	6511
490	6266	6496
491	6277	6481
492	6288	6466
493	6299	6452
494	6310	6437
495	6321	6423
496	6332	6408
497	6342	6393
498	6353	6379
499	6364	6364
500	6375	6349
501	6386	6335
502	6396	6320
503	6407	6305
504	6417	6290
505	6427	6274
506	6438	6260
507	6448	6245
508	6459	6231
509	6470	6217
510	6481	6202
511	6492	6188
512	6503	6173
513	6514	6159
514	6524	6144
515	6535	6130
516	6547	6116
517	6558	6103
518	6570	6089
519	6581	6075
520	6592	6060
521	6603	6046
522	6614	6033
523	6625	6018
524	6637	6005
525	6648	5991
526	6659	5976
527	6669	5962
528	6681	5948
529	6692	5934
530	6704	5921
531	6715	5907
532	6727	5894
533	6739	5881
534	6750	5867
535	6761	5853
536	6773	5839
537	6785	5826
538	6796	5813
539	6809	5800
540	6820	5786
541	6831	5773
542	6843	5759
543	6854	5745
544	6865	5731
545	6878	5719
546	6889	5705
547	6899	5691
548	6910	5677
549	6922	5663
550	6933	5650
551	6945	5636
552	6955	5622
553	6967	5608
554	6978	5595
555	6988	5580
556	6999	5566
557	7010	5552
558	7021	5539
559	7032	5525
560	7043	5511
561	7054	5497
562	7065	5484
563	7076	5470
564	7087	5456
565	7098	5443
566	7109	5429
567	7120	5415
568	7131	5402
569	7143	5388
570	7154	5374
571	7165	5361
572	7176	5347
573	7187	5334
574	7200	5322
575	7210	5307
576	7222	5294
577	7233	5281
578	7244	5267
579	7255	5254
580	7266	5240
581	7278	5227
582	7289	5213
583	7299	5199
584	7311	5186
585	7322	5173
586	7334	5160
587	7346	5147
588	7357	5133
589	7368	5120
590	7379	5107
591	7391	5094
592	7402	5080
593	7413	5067
594	7425	5054
595	7436	5041
596	7448	5028
597	7459	5014
598	7470	5001
599	7481	4987
600	7491	4973
601	7502	4960
602	7513	4946
603	7524	4933
604	7534	4919
605	7547	4907
606	7557	4893
607	7568	4879
608	7579	4866
609	7592	4853
610	7606	4842
611	7617	4829
612	7628	4815
613	7638	4801
614	7649	4788
615	7659	4774
616	7669	4761
617	7680	4747
618	7691	4733
619	7703	4721
620	7713	4707
621	7723	4693
622	7734	4680
623	7745	4667
624	7756	4653
625	7766	4640
626	7777	4626
627	7788	4613
628	7800	4600
629	7810	4587
630	7822	4574
631	7833	4561
632	7845	4548
633	7856	4535
634	7868	4522
635	7879	4509
636	7890	4496
637	7901	4483
638	7911	4469
639	7922	4456
640	7933	4443
641	7944	4430
642	7955	4416
643	7965	4403
644	7976	4390
645	7986	4376
646	7997	4363
647	8008	4350
648	8019	4337
649	8030	4323
650	8041	4311
651	8053	4298
652	8063	4284
653	8074	4271
654	8085	4258
655	8095	4245
656	8106	4232
657	8117	4219
658	8128	4206
659	8138	4192
660	8149	4179
661	8159	4166
662	8169	4152
663	8180	4139
664	8190	4126
665	8202	4113
666	8213	4100
667	8223	4087
668	8234	4074
669	8245	4060
670	8255	4047
671	8266	4034
672	8278	4022
673	8288	4009
674	8299	3996
675	8310	3983
676	8321	3970
677	8332	3957
678	8343	3944
679	8355	3932
680	8370	3920
681	8382	3908
682	8395	3896
683	8407	3884
684	8418	3871
685	8428	3858
686	8439	3845
687	8451	3832
688	8461	3819
689	8472	3806
690	8483	3793
691	8495	3781
692	8507	3768
693	8519	3756
694	8530	3743
695	8541	3730
696	8552	3718
697	8564	3705
698	8575	3692
699	8586	3679
700	8596	3666
701	8607	3653
702	8618	3641
703	8629	3628
704	8639	3615
705	8650	3602
706	8662	3589
707	8673	3577
708	8684	3564
709	8695	3551
710	8707	3539
711	8718	3526
712	8729	3513
713	8740	3501
714	8753	3489
715	8764	3476
716	8775	3463
717	8788	3451
718	8798	3438
719	8809	3425
720	8819	3412
721	8831	3400
722	8842	3387
723	8854	3375
724	8866	3362
725	8877	3350
726	8889	3338
727	8900	3325
728	8910	3312
729	8922	3300
730	8935	3287
731	8946	3275
732	8958	3263
733	8971	3251
734	8982	3238
735	8993	3226
736	9005	3213
737	9015	3200
738	9025	3187
739	9036	3175
740	9047	3162
741	9058	3149
742	9069	3137
743	9081	3124
744	9092	3112
745	9103	3099
746	9115	3087
747	9125	3074
748	9137	3061
749	9147	3049
750	9159	3036
751	9170	3024
752	9181	3011
753	9193	2999
754	9204	2986
755	9216	2974
756	9228	2962
757	9238	2949
758	9249	2936
759	9260	2924
760	9271	2911
761	9283	2899
762	9294	2886
763	9305	2874
764	9315	2861
765	9326	2848
766	9336	2836
767	9347	2823
768	9358	2811
769	9368	2798
770	9381	2786
771	9392	2774
772	9405	2762
773	9416	2749
774	9427	2736
775	9438	2724
776	9450	2712
777	9461	2699
778	9472	2687
779	9483	2674
780	9494	2662
781	9505	2649
782	9515	2637
783	9525	2624
784	9536	2611
785	9547	2599
786	9557	2586
787	9567	2574
788	9578	2561
789	9589	2549
790	9599	2536
791	9609	2523
792	9621	2511
793	9632	2499
794	9644	2486
795	9656	2474
796	9667	2462
797	9678	2450
798	9689	2437
799	9699	2424
800	9710	2412
801	9721	2399
802	9731	2387
803	9742	2375
804	9752	2362
805	9764	2350
806	9775	2337
807	9785	2325
808	9796	2312
809	9806	2300
810	9817	2287
811	9827	2275
812	9837	2262
813	9848	2250
814	9860	2238
815	9870	2225
816	9881	2213
817	9891	2200
818	9901	2188
819	9912	2175
820	9922	2163
821	9933	2150
822	9944	2138
823	9955	2126
824	9968	2114
825	9981	2102
826	9994	2090
827	10006	2078
828	10017	2066
829	10030	2054
830	10042	2042
831	10052	2029
832	10063	2017
833	10075	2005
834	10087	1993
835	10099	1981
836	10110	1968
837	10119	1956
838	10129	1943
839	10140	1931
840	10150	1919
841	10161	1906
842	10172	1894
843	10183	1882
844	10193	1869
845	10204	1857
846	10215	1845
847	10225	1832
848	10236	1820
849	10247	1808
850	10258	1796
851	10268	1783
852	10279	1771
853	10291	1759
854	10302	1747
855	10313	1734
856	10323	1722
857	10334	1710
858	10344	1698
859	10355	1685
860	10365	1673
861	10375	1661
862	10386	1648
863	10397	1636
864	10408	1624
865	10418	1612
866	10429	1599
867	10439	1587
868	10450	1575
869	10461	1563
870	10474	1551
871	10485	1539
872	10497	1527
873	10508	1514
874	10520	1502
875	10531	1490
876	10541	1478
877	10552	1466
878	10563	1454
879	10575	1442
880	10586	1429
881	10598	1417
882	10609	1405
883	10622	1393
884	10634	1381
885	10647	1369
886	10659	1358
887	10671	1345
888	10683	1333
889	10694	1321
890	10705	1309
891	10717	1297
892	10729	1285
893	10741	1273
894	10752	1261
895	10764	1249
896	10775	1237
897	10785	1225
898	10796	1212
899	10807	1200
900	10818	1188
901	10830	1176
902	10842	1164
903	10853	1152
904	10865	1140
905	10875	1128
906	10886	1116
907	10897	1104
908	10908	1092
909	10919	1079
910	10930	1067
911	10942	1055
912	10953	1043
913	10964	1031
914	10977	1019
915	10988	1007
916	10999	995
917	11010	983
918	11021	971
919	11032	959
920	11042	947
921	11053	935
922	11065	923
923	11076	911
924	11087	899
925	11098	886
926	11111	875
927	11122	862
928	11133	850
929	11144	838
930	11155	826
931	11166	814
932	11177	802
933	11189	790
934	11201	778
935	11212	766
936	11222	754
937	11232	742
938	11244	730
939	11255	718
940	11266	706
941	11277	694
942	11288	682
943	11299	670
944	11311	658
945	11321	646
946	11331	634
947	11343	622
948	11354	610
949	11364	598
950	11377	586
951	11388	574
952	11399	562
953	11410	550
954	11422	538
955	11433	526
956	11443	514
957	11454	502
958	11464	490
959	11475	478
960	11486	466
961	11496	454
962	11507	442
963	11517	430
964	11528	418
965	11539	406
966	11550	394
967	11561	382
968	11572	370
969	11583	358
970	11594	346
971	11604	334
972	11616	322
973	11627	310
974	11638	298
975	11649	286
976	11659	274
977	11670	262
978	11682	250
979	11692	238
980	11702	226
981	11713	214
982	11724	202
983	11735	190
984	11746	178
985	11756	166
986	11767	154
987	11777	143
988	11789	131
989	11800	119
990	11811	107
991	11822	95
992	11833	83
993	11846	71
994	11857	59
995	11868	47
996	11878	35
997	11888	23
998	11899	11
999	11909	0
