iter	Logloss
0	0.6505806303
1	0.6064870727
2	0.5688968716
3	0.5348868318
4	0.4999055058
5	0.4658133779
6	0.4496657647
7	0.4236464565
8	0.4035594847
9	0.3863493326
10	0.3698065124
11	0.358816872
12	0.3483129074
13	0.3385067913
14	0.3317323618
15	0.3237686015
16	0.3156689248
17	0.3137314544
18	0.3072648517
19	0.2993617125
20	0.2972657539
21	0.2925583067
22	0.2889491681
23	0.2855161262
24	0.2804290378
25	0.2770726692
26	0.2750781984
27	0.2702795825
28	0.2681068005
29	0.264968505
30	0.2641919341
31	0.2633886545
32	0.2624556381
33	0.2620535273
34	0.2597623697
35	0.2583372681
36	0.2572490622
37	0.2541177851
38	0.2519620826
39	0.2485607862
40	0.2479663292
41	0.247925714
42	0.2478844685
43	0.2470983204
44	0.246088147
45	0.2460129608
46	0.2457107944
47	0.2453974337
48	0.2448221735
49	0.2447362099
50	0.2441079082
51	0.2438749834
52	0.2436397136
53	0.2433440348
54	0.2418013198
55	0.241010307
56	0.2409229052
57	0.2406732985
58	0.2392565511
59	0.2391803451
60	0.2390914414
61	0.2384960437
62	0.236955418
63	0.2363602856
64	0.2362541126
65	0.2361277241
66	0.2356541293
67	0.2354171407
68	0.2350561544
69	0.233532273
70	0.2334177751
71	0.2332320582
72	0.2331077386
73	0.2328801786
74	0.2320961907
75	0.231871359
76	0.2317166839
77	0.2316318017
78	0.2314174424
79	0.2313054819
80	0.2307121639
81	0.2306984272
82	0.2303363122
83	0.230287105
84	0.2301843973
85	0.2300429284
86	0.2293799706
87	0.2291493683
88	0.229023205
89	0.2289060724
90	0.2287955208
91	0.2287374306
92	0.2286469412
93	0.2281431632
94	0.2278625909
95	0.2278258127
96	0.2277413742
97	0.2267540164
98	0.2256651173
99	0.2254411071
100	0.2253992597
101	0.2252262805
102	0.2250890644
103	0.2250798634
104	0.2248927821
105	0.2247518229
106	0.2246796727
107	0.2246037023
108	0.2246006024
109	0.2245328602
110	0.2243685033
111	0.2242500853
112	0.224199163
113	0.224194328
114	0.2241219263
115	0.2240235473
116	0.2238240263
117	0.2236908746
118	0.2234994704
119	0.223461664
120	0.2234243348
121	0.2234243063
122	0.2233526628
123	0.2232735742
124	0.2230853416
125	0.2228156156
126	0.2227660292
127	0.2222404236
128	0.2221774228
129	0.2221373493
130	0.2219366039
131	0.2217606132
132	0.2217244529
133	0.221612052
134	0.2212161404
135	0.2211239698
136	0.2210423743
137	0.2209153744
138	0.2208681661
139	0.2207145561
140	0.2205520266
141	0.2205022031
142	0.2204200795
143	0.2203330839
144	0.220222839
145	0.2202200975
146	0.2201714545
147	0.2198911838
148	0.2198012833
149	0.2196984453
150	0.2193359374
151	0.2191167023
