iter	MAE
355	340.8199186
356	340.6916471
357	340.6817348
358	340.6630304
359	340.6559892
360	340.6559877
361	340.6545528
362	340.652208
363	340.6446553
364	340.6182332
365	340.4701874
366	340.470096
367	340.4700674
368	340.4690802
369	340.4679166
370	340.4649214
371	340.431711
372	340.4317103
373	340.4244791
374	340.3192878
375	340.1574654
376	340.1569757
377	340.1455629
378	340.1358834
379	340.1279731
380	340.1276934
381	340.1276789
382	340.1276723
383	339.0710878
384	339.0707476
385	339.0706833
386	339.0706546
387	339.0706427
388	339.0705297
389	338.8477543
390	338.8474734
391	338.8472988
392	338.8465612
393	338.8388337
394	338.7713735
395	338.6112441
396	338.61124
397	338.6112374
398	338.6112358
399	338.6102196
400	338.6100521
401	338.5743392
402	338.5743095
403	338.5742912
404	338.5667029
405	338.551517
406	338.5500838
407	338.3605704
408	338.3604587
409	338.3604362
410	338.3604244
411	338.260114
412	338.2601134
413	338.260113
414	338.2396308
415	338.2396305
416	338.2396303
417	338.2396302
418	338.2396301
419	338.2378438
420	338.2377881
421	338.2344179
422	338.2298154
423	338.2298115
424	338.2298102
425	338.2297353
426	338.2001301
427	337.9212754
428	337.7525295
429	337.6001546
430	337.5994891
431	337.5808497
432	337.5608588
433	337.5608585
434	337.5608584
435	337.552858
436	337.5519214
437	337.5432056
438	337.5422781
439	337.5422654
440	337.5422599
441	337.5422582
442	337.5422571
443	337.2683127
444	337.2682974
445	337.2660444
446	337.266044
447	337.1981799
448	337.1976556
449	337.0894184
450	337.0894115
451	337.052718
452	337.0526884
453	337.0526746
454	337.0526669
455	336.9288111
456	336.9045748
457	336.873108
458	336.8730202
459	336.872983
460	336.8684541
461	336.8588364
462	336.8588351
463	336.8567616
464	336.8546209
465	336.8545527
466	336.7888176
467	336.7885175
468	336.7884686
469	336.788363
470	336.7882964
471	336.7872465
472	336.7799931
473	336.7744063
474	336.725128
475	336.7230155
476	336.7230146
477	336.4119304
478	336.4118371
479	336.4117951
480	336.4113456
481	336.4094209
482	336.3644256
483	336.3644229
484	336.3626029
485	336.282805
486	336.2352878
487	336.0089599
488	336.0089352
489	336.0008412
490	335.997561
491	335.9975558
492	335.9975536
493	335.9975532
494	335.9905293
495	335.9905222
496	335.9903002
497	335.9894852
498	335.9886083
499	335.9885363
500	335.9518057
501	335.9517984
502	335.9502945
503	335.9502908
504	335.9501093
505	335.9496818
506	335.9181482
507	335.9181279
508	335.9179074
509	335.9055929
510	335.7643696
511	335.6742847
512	335.6689071
513	335.6603181
514	335.6598084
515	335.6423005
516	335.6415132
517	335.5736381
518	335.573638
519	335.1118391
520	335.1116115
521	335.1088684
522	335.1088327
523	335.108821
524	335.0854743
525	335.0851684
526	335.0851665
527	335.0851659
528	335.0770961
529	334.9837759
530	334.9747513
531	334.9645238
532	334.9645207
533	334.9645187
534	334.964161
535	334.9641006
536	334.8617884
537	334.8617864
538	334.8617857
539	334.8459643
540	334.8459316
541	334.8459236
542	334.8459189
543	334.8459159
544	334.8431455
545	334.8429621
546	334.8424
547	334.7772457
548	334.7718783
549	334.6124735
550	334.6000471
551	334.5918659
552	334.5902458
553	334.588463
554	334.5041226
555	334.4964201
556	334.4963979
557	334.496389
558	334.4963869
559	334.4908501
560	334.4908409
561	334.4904998
562	334.4821063
563	334.4820574
