,x_nose,y_nose,z_nose,x_left_eye_inner,y_left_eye_inner,z_left_eye_inner,x_left_eye,y_left_eye,z_left_eye,x_left_eye_outer,y_left_eye_outer,z_left_eye_outer,x_right_eye_inner,y_right_eye_inner,z_right_eye_inner,x_right_eye,y_right_eye,z_right_eye,x_right_eye_outer,y_right_eye_outer,z_right_eye_outer,x_left_ear,y_left_ear,z_left_ear,x_right_ear,y_right_ear,z_right_ear,x_mouth_left,y_mouth_left,z_mouth_left,x_mouth_right,y_mouth_right,z_mouth_right,x_left_shoulder,y_left_shoulder,z_left_shoulder,x_right_shoulder,y_right_shoulder,z_right_shoulder,x_left_elbow,y_left_elbow,z_left_elbow,x_right_elbow,y_right_elbow,z_right_elbow,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_left_pinky_1,y_left_pinky_1,z_left_pinky_1,x_right_pinky_1,y_right_pinky_1,z_right_pinky_1,x_left_index_1,y_left_index_1,z_left_index_1,x_right_index_1,y_right_index_1,z_right_index_1,x_left_thumb_2,y_left_thumb_2,z_left_thumb_2,x_right_thumb_2,y_right_thumb_2,z_right_thumb_2,x_left_hip,y_left_hip,z_left_hip,x_right_hip,y_right_hip,z_right_hip,x_left_knee,y_left_knee,z_left_knee,x_right_knee,y_right_knee,z_right_knee,x_left_ankle,y_left_ankle,z_left_ankle,x_right_ankle,y_right_ankle,z_right_ankle,x_left_heel,y_left_heel,z_left_heel,x_right_heel,y_right_heel,z_right_heel,x_left_foot_index,y_left_foot_index,z_left_foot_index,x_right_foot_index,y_right_foot_index,z_right_foot_index
count,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0
mean,0.053648413283500646,-37.32679599037375,-30.706540648123976,0.48568730466782134,-39.50918475107566,-30.524985303152235,0.7920945754633546,-39.545846294247944,-30.527954915071284,1.083083429547858,-39.579254521558795,-30.539070535520512,-0.40422594160656355,-39.53093387860073,-30.399054487575206,-0.7177821730127621,-39.58965812759343,-30.405472093701,-1.0086358939841384,-39.62643437954239,-30.41355174913765,1.559264049611668,-39.091754072474934,-22.95261314272106,-1.3597488135309022,-39.06133321628742,-22.39178999718505,0.6272461671479033,-35.22513526348222,-27.185046986499547,-0.4463242652096627,-35.2657403991887,-27.05937052424066,4.261373552689152,-29.085253138524156,-17.47487371428441,-3.920155962041021,-29.048850896089338,-15.590360819193258,6.1675790162315405,-23.595235582814404,-19.198658646657247,-6.728568827778488,-23.291119010246124,-16.702730666350046,4.9719750751759335,-23.13271543741112,-24.519900530360985,-6.268482826597994,-23.129454150319052,-21.319078518234274,4.80425009123701,-23.231085007613952,-28.436471154890608,-6.359894242827895,-23.319977999863262,-24.987937068305378,4.398988106714676,-23.679363155108476,-29.116297782798267,-5.92493001385597,-23.65460920396536,-25.842379017887875,4.252070806356427,-23.429148077957155,-25.09848709458523,-5.699862252372835,-23.425051073810394,-22.02324297575661,2.479422967191522,0.03186254101504101,-0.6738493710382862,-2.479423079762534,-0.03186273713226983,0.6738493710382862,3.272910451322698,14.113967683979945,-0.12679248508568797,-4.147353591079307,14.176733497164994,2.535153801290793,3.4183267492251597,32.69782244101185,24.486932868226983,-4.717392764786691,32.732612407130354,26.60747424347949,3.2537207349642663,35.133279086541485,26.51094241268915,-4.483413901924339,35.229422835604375,28.63600922117867,3.289101882649954,40.228771272707384,14.356177395383773,-5.158547648822243,39.91117828969006,16.617366288148133
std,23.649280815605984,31.048437267033965,54.65619171919765,24.497338975610813,31.34682437979925,54.992887821485915,24.48570146878368,31.211336583104266,54.99362489501069,24.462829158441547,31.06269747442782,55.00000376761928,24.482049751276524,31.282611143141885,55.2066318211057,24.47075192809125,31.071643586007283,55.21460339838868,24.448015919731297,30.88941729788811,55.21440843600596,23.71487100336446,28.9714793806768,51.413247816851296,23.681242338813604,28.90057699295254,52.40121074517383,22.436392123844243,29.427593764730762,51.822573576925414,22.428953727586464,29.291567849149708,52.12034438480657,18.84783764263503,20.73405111750696,44.95242785060475,18.723056016597603,20.40791249367726,46.41764532519986,19.603304453932616,26.999967585505697,46.520670126103184,19.65574063077508,26.451286661834846,48.1636614190248,22.913381264612262,43.35167861122043,54.57460585669195,22.986753857177803,42.93079670808519,56.90359075869236,24.761258887157812,47.044527631445845,58.44158911218015,24.794762487732452,46.604564784871926,60.84177452124478,24.501353183255482,47.12839543832523,57.957235834817716,24.536751519124742,46.7507099842024,60.47487196422694,23.671868879509134,45.80105871235533,54.62002281280899,23.725330916073865,45.4209441187186,57.01979085253108,3.5596614671517766,2.997467438684178,13.346260039742782,3.5596614212580917,2.9974682435162032,13.346260039742782,14.495337452829531,19.908772804756676,40.64545321736076,14.805058998349363,19.570245499479825,39.87223559274753,25.221443638866912,27.654778866537256,65.28671784372551,25.707420741257305,27.439707390400812,64.60797656321833,26.84876314696524,29.296416925955366,68.45788464881103,27.15319791009558,29.035621306413216,67.82193062580664,29.062193307289323,31.379031130223154,72.32824931347578,29.559801962559252,31.403257538723608,71.80418537083071
min,-65.973076,-68.403656,-445.80008,-66.53818,-71.202156,-458.56757,-65.19166,-71.224174,-458.57944,-64.94221,-71.31701,-458.67056,-66.657745,-72.438034,-459.2281,-66.57727,-73.02422,-459.32736,-67.245674,-73.569695,-459.37506,-61.420036,-69.0168,-424.54022,-64.322975,-70.67107,-427.84686,-63.336056,-63.510395,-422.7426,-64.6969,-63.92749,-424.13812,-44.555332,-52.02505,-322.17606,-53.58826,-49.994736,-331.37012,-52.23098,-84.603676,-219.62408,-83.83559,-65.66425,-232.21156,-68.39134,-93.70571,-239.35161,-75.97429,-93.4992,-248.3834,-71.94344,-99.9082,-254.7312,-84.67309,-99.123085,-270.4462,-71.972664,-99.73318,-248.90935,-80.9662,-97.77019,-278.30444,-71.114685,-97.713806,-237.95856,-79.52413,-96.32578,-252.88203,-16.397907,-11.419733,-51.663525,-19.060642,-12.999614,-33.714275,-36.31454,-59.26178,-190.24512,-44.932125,-57.359802,-149.92245,-69.50143,-91.3122,-351.74878,-86.36014,-90.81632,-316.36227,-76.78912,-99.81716,-368.98788,-87.27601,-99.9694,-334.56387,-81.99221,-99.27519,-423.63757,-97.181305,-99.9202,-380.154
25%,-4.10943,-55.254955,-48.76551,-3.3410046,-57.54043,-46.49604,-3.2708156,-57.42823,-46.487988,-3.2332194,-57.418007,-46.501522,-4.169279,-57.555176,-46.61521,-4.438617,-57.505165,-46.626633,-4.6851935,-57.40673,-46.62929,-3.0366066,-55.590527,-33.550896,-5.3061757,-55.653,-34.1001,-3.3044033,-52.20958,-42.66965,-4.255124,-52.316658,-42.96064,-4.7697253,-40.33334,-32.210373,-9.133782,-40.14898,-30.48631,-5.2366724,-45.013393,-44.270355,-16.10592,-44.026226,-38.797222,-7.7649207,-56.99963,-51.566826,-16.426777,-56.96803,-47.567455,-8.436792,-61.208088,-57.699417,-17.5187,-61.167843,-53.413128,-8.006936,-61.520416,-56.283165,-16.384308,-61.40883,-52.97323,-7.5995393,-59.634064,-51.8024,-16.020248,-60.085358,-48.17734,0.338729,-0.49927315,-9.907591,-4.4884315,-0.6843239,-6.1126323,-4.5737395,2.9451065,-16.784197,-11.28955,3.1075275,-14.860225,-4.414329,14.764984,-6.2890334,-13.782983,16.21686,-3.5563133,-4.364262,17.265875,-5.678543,-13.371049,18.600668,-2.8548646,-5.9306426,23.143908,-14.776978,-16.590565,23.575298,-15.24463
50%,-0.113794915,-50.88363,-24.786951,0.33101985,-52.9503,-23.69281,0.6889776,-52.864372,-23.712904,1.1117158,-52.83737,-23.728231,-0.7785087,-52.942234,-23.604742,-1.2728518,-52.85365,-23.601427,-1.7046465,-52.74588,-23.603817,1.776028,-51.50348,-16.448837,-2.2721012,-51.50442,-16.806355,0.57328147,-48.251038,-20.837952,-0.8813763,-48.337738,-21.131977,5.7867513,-39.551888,-14.567022,-6.0688353,-39.398186,-14.504732,8.696303,-24.61496,-18.159113,-9.228739,-24.783617,-16.141333,6.7493753,-34.204742,-26.993933,-7.742307,-33.155754,-25.298388,5.927539,-36.27531,-31.713768,-7.3732257,-35.48613,-29.048994,5.359511,-37.549988,-33.489983,-6.714108,-36.68875,-31.388935,5.331489,-36.24327,-28.072628,-6.583497,-35.847477,-26.637432,3.3744211,-0.010310348,-0.3382173,-3.3744314,0.010316784,0.3382173,3.881257,22.995836,-1.2217873,-4.1818285,22.317368,0.4744756,3.567106,41.979435,23.43335,-3.8681734,40.845413,24.568132,3.4061115,44.73733,24.861042,-4.042651,43.930687,25.423359,3.6459465,50.737988,10.905448,-4.5336976,50.243694,11.231042
75%,3.5383322,-34.784786,-2.45467,4.2067914,-36.97508,-3.0960457,4.8737855,-37.18644,-3.0978703,5.333421,-37.605465,-3.091778,3.3265147,-37.79688,-3.5076234,2.8325183,-37.92138,-3.5044975,2.9037838,-37.752316,-3.503117,5.3756204,-37.342197,-1.4273171,2.876427,-37.030468,0.083197124,4.29737,-31.937578,-1.0684621,2.9134574,-33.217724,-1.4156485,9.359577,-27.20411,5.6582294,4.455556,-27.026844,6.7427278,15.347749,-14.740764,7.4813695,5.3954673,-13.525516,6.296913,15.438453,0.8462124,6.6562347,6.8305774,0.9653221,10.027046,16.426432,6.474356,4.4360204,7.222744,6.2363586,9.143328,15.657976,6.461628,1.997154,6.5651245,6.185078,6.606131,14.900539,4.6293044,4.683632,6.2679214,4.355152,9.0924225,4.4884315,0.6843239,6.1126323,-0.3387186,0.49928194,9.907591,10.520423,28.342926,18.547405,2.9276526,28.344313,19.796848,13.244793,53.185284,44.470715,2.547834,53.1398,43.551056,12.690364,56.596817,46.76256,3.14369,56.155956,45.967274,15.428953,62.077587,35.520462,3.5179524,61.49485,36.787037
max,64.85093,83.51044,242.46538,66.83467,80.62999,253.63815,67.45822,79.56045,253.77429,64.51383,77.76981,253.70279,62.45361,81.047905,250.1798,61.723488,79.94214,250.11131,61.110146,78.656944,250.17926,60.976337,67.727196,262.18176,57.01297,69.501495,247.0411,59.65436,80.69322,241.9055,57.658726,80.070114,236.81583,53.379135,51.211338,229.2681,44.328262,48.726196,196.10555,72.591606,76.488754,227.79718,56.82638,77.632256,215.67688,80.61394,96.4001,242.86821,73.50203,95.00072,242.36629,86.04443,99.80568,243.79384,78.77951,98.919495,245.10756,86.78122,98.87683,244.6062,81.01217,99.5565,252.83534,85.22321,96.07244,241.02571,79.10815,97.16946,244.53249,19.060642,12.999614,33.714275,16.397902,11.41973,51.663525,50.403183,68.706856,261.43777,51.36791,68.21546,263.3516,79.46488,92.86917,512.35394,75.65979,88.52534,512.5845,83.66601,97.91511,541.7111,83.39162,98.51814,540.9716,98.58645,99.82903,565.3424,94.96549,99.537735,558.5236
