iter	Logloss
0	0.6677158238
1	0.6411146688
2	0.6154078079
3	0.5956159796
4	0.5798240239
5	0.5665029669
6	0.549979591
7	0.5397846265
8	0.5299855361
9	0.519885576
10	0.5113213795
11	0.5011787639
12	0.4940488467
13	0.48595173
14	0.4781638663
15	0.4732803524
16	0.4673500039
17	0.4629703797
18	0.4586995386
19	0.4548992453
20	0.4502073705
21	0.4463332301
22	0.4445982169
23	0.4409688877
24	0.4388802362
25	0.4360547965
26	0.4335369316
27	0.4327620114
28	0.4304277997
29	0.4287616565
30	0.4259679747
31	0.4241128503
32	0.4224006149
33	0.4211148095
34	0.4193096092
35	0.4179211668
36	0.4168183942
37	0.4156158786
38	0.4142568069
39	0.4130248631
40	0.4109824836
41	0.4098691829
42	0.4090609576
43	0.408297631
44	0.4069940568
45	0.4052252065
46	0.404205534
47	0.403400932
48	0.4025971849
49	0.4018783178
50	0.4003823333
51	0.3998313089
52	0.3985317749
53	0.3978106216
54	0.3969201151
55	0.3963715444
56	0.3958038229
57	0.3956651479
58	0.3949662696
59	0.3945414723
60	0.3941894662
61	0.3938064205
62	0.3937403008
63	0.3933623959
64	0.392642968
65	0.3919322702
66	0.3910074539
67	0.3904200437
68	0.3899426779
69	0.3894401775
70	0.3890669938
71	0.3883438453
72	0.3877014261
73	0.387377547
74	0.3870430574
75	0.38682941
76	0.3867270671
77	0.386074637
78	0.3855841008
79	0.3854031346
80	0.3850836163
81	0.3845675254
82	0.3841191864
83	0.3838249018
84	0.3832774819
85	0.3831591235
86	0.3829089081
87	0.3825814927
88	0.3822035562
89	0.3820627561
90	0.3818541436
91	0.3814944027
92	0.3811505381
93	0.3805833323
94	0.3805278634
95	0.3802896124
96	0.3800034816
97	0.3795203569
98	0.379294716
99	0.378817561
100	0.3785819345
101	0.3782654789
102	0.377732522
103	0.3769953735
104	0.3765175629
105	0.3763243619
106	0.3759324155
107	0.3755358113
108	0.3750358909
109	0.3747061163
110	0.3742670966
111	0.3738424758
112	0.3736673351
113	0.3729158034
114	0.3722942385
115	0.3720137006
116	0.3715811226
117	0.3714417989
118	0.3710707166
119	0.3707863091
120	0.3702520134
121	0.3699788525
122	0.36950464
123	0.3692287016
124	0.3690177606
125	0.3687503968
126	0.3684184706
127	0.3677908507
128	0.367617638
129	0.3673333135
130	0.3671941524
131	0.3670578341
132	0.3661472126
133	0.3657899165
134	0.3654196868
135	0.36510396
136	0.3645384266
137	0.3643511052
138	0.3641413409
139	0.3639877915
140	0.3634973865
141	0.3631690778
142	0.3626533865
143	0.3622651585
144	0.3616277799
145	0.3612626031
146	0.3611827833
147	0.361083783
148	0.3609843079
149	0.3602851526
150	0.3601078458
151	0.3599112261
152	0.3594245176
153	0.3593325365
154	0.3587204281
155	0.3585590694
156	0.3584707201
157	0.3578953518
158	0.3574234124
159	0.3571734168
160	0.3564877929
161	0.3559862698
162	0.3558039107
163	0.3555497943
164	0.3550428094
165	0.3548547521
166	0.354352961
167	0.3539207989
168	0.3537908018
169	0.3537556257
170	0.353744159
171	0.3533044622
172	0.3526900666
173	0.352422274
174	0.3519832377
175	0.3519009305
176	0.3513324274
177	0.3509211117
178	0.3507157098
179	0.3502409204
180	0.3497743324
181	0.3493965374
182	0.349170938
183	0.3491395998
184	0.3490300206
185	0.3488965703
186	0.3487088952
187	0.3486030466
188	0.3482092348
189	0.3480714119
190	0.3476501501
191	0.3475244185
192	0.3470829833
193	0.3467304851
194	0.3466277195
195	0.3466146428
196	0.3460931453
197	0.3460844276
198	0.3459092389
199	0.3459012416
200	0.3454761936
201	0.3450043543
202	0.3449918938
203	0.3448467198
204	0.3447933297
205	0.3447854785
206	0.3443805838
207	0.3443708862
208	0.3443625653
209	0.3443545146
210	0.3439003165
211	0.3438903684
212	0.3435651284
213	0.3433901299
214	0.3433800547
215	0.3430748549
216	0.3430669224
217	0.3421003652
218	0.3417642637
219	0.3416527215
220	0.3413502167
221	0.3413408098
222	0.3412282621
223	0.3411341561
224	0.3411248598
225	0.341113065
226	0.3409197562
227	0.3409118406
228	0.3409017091
229	0.3407643588
230	0.340752457
231	0.3407437528
232	0.3407335963
233	0.340726189
234	0.3406762424
235	0.3398100187
236	0.3397634869
237	0.3393409236
238	0.3390086304
239	0.3388557297
240	0.3388069433
241	0.3387896036
242	0.3383909353
243	0.3382894131
244	0.3375131476
245	0.3372718755
246	0.3372647792
247	0.3364777948
248	0.3363308797
249	0.3359699115
250	0.3359620736
251	0.3352402417
252	0.3348598935
253	0.3348529924
254	0.3347535118
255	0.3346462779
256	0.3342888659
257	0.3342755923
258	0.3342680042
259	0.334257775
260	0.3341597739
261	0.3341514228
262	0.3340563071
263	0.334046419
264	0.3340364397
265	0.334028468
266	0.3339364873
267	0.3339282365
268	0.3339211177
269	0.3335874751
270	0.3335810958
271	0.3334369136
272	0.333086178
273	0.3330775261
274	0.3330702616
275	0.3330638187
276	0.3327456486
277	0.3327391221
278	0.3327300875
279	0.3327226571
280	0.3327155169
281	0.3323952288
282	0.3323876756
283	0.3323789687
284	0.3320136965
285	0.3320051513
286	0.3317689402
287	0.3312602594
288	0.3312531708
289	0.3308714853
290	0.3305277752
291	0.3305207282
292	0.3298809182
293	0.3297928008
294	0.3295050333
295	0.3292554726
296	0.3292479664
297	0.3292397444
298	0.3291250926
299	0.3289020256
300	0.3287722043
301	0.3285628713
302	0.3281631498
303	0.3277752816
304	0.3277684035
305	0.3277624569
306	0.3277113154
307	0.3276680696
308	0.3276615758
309	0.327527031
310	0.3275210052
311	0.3271779078
312	0.3270995318
313	0.3269960197
314	0.3269886708
315	0.326868612
316	0.3265005116
317	0.3264916429
318	0.3264439309
319	0.3264367885
320	0.3264316071
321	0.3264248321
322	0.32622854
323	0.3259132454
324	0.3256038486
325	0.3252328393
326	0.3252268943
327	0.3252186686
328	0.325212947
329	0.3250314918
330	0.3250231864
331	0.3250066166
332	0.3249988797
333	0.3249916159
334	0.3247175784
